,Name,dates_decimal,dates_datetime_rtz,dates_datetime,changes,errors
0,North-Ea_m,2010.6657534246576,2010-09-01,2010-09-01 00:00:00+00:00,0.0,1.2828944623106864
1,North-Ea_m,2010.7479452054795,2010-10-01,2010-10-01 00:00:00+00:00,-0.8788065455162831,1.0529900252702757
2,North-Ea_m,2010.8301369863013,2010-10-31,2010-10-31 00:00:00+00:00,-0.9014235476357765,0.911469780635543
3,North-Ea_m,2010.9123287671232,2010-11-30,2010-11-30 00:00:00+00:00,-0.7143768477640127,0.9397367196733631
4,North-Ea_m,2010.9945205479453,2010-12-30,2010-12-30 00:00:00+00:00,-1.4350675795540582,0.9813651048802748
5,North-Ea_m,2011.0767123287671,2011-01-29,2011-01-29 00:00:00+00:00,-1.5427420779722785,0.8426364891732611
6,North-Ea_m,2011.158904109589,2011-02-28,2011-02-28 00:00:00+00:00,-1.547636531944212,0.8085186667060705
7,North-Ea_m,2011.2410958904109,2011-03-30,2011-03-30 00:00:00+00:00,-0.8280549872974289,0.7819871435641516
8,North-Ea_m,2011.323287671233,2011-04-29,2011-04-29 00:00:00+00:00,-0.5656626932200638,0.927761450038814
9,North-Ea_m,2011.4054794520548,2011-05-29,2011-05-29 00:00:00+00:00,-0.7971238417921089,0.8980019547648544
10,North-Ea_m,2011.4876712328767,2011-06-28,2011-06-28 00:00:00+00:00,-0.393008732230981,0.9033851277631957
11,North-Ea_m,2011.5698630136985,2011-07-28,2011-07-28 00:00:00+00:00,-0.1383741078979479,0.8968961940440463
12,North-Ea_m,2011.6520547945206,2011-08-27,2011-08-27 00:00:00+00:00,-0.6592649964310066,0.6650766181956704
13,North-Ea_m,2011.7342465753425,2011-09-26,2011-09-26 00:00:00+00:00,-1.1127853076640122,0.6580562232405675
14,North-Ea_m,2011.8164383561643,2011-10-26,2011-10-26 00:00:00+00:00,-1.084730893944526,0.6667563177975939
15,North-Ea_m,2011.8986301369864,2011-11-25,2011-11-25 00:00:00+00:00,-0.9812003367122112,0.7614541853851661
16,North-Ea_m,2011.9808219178083,2011-12-25,2011-12-25 00:00:00+00:00,-0.7385610556829263,0.6975948678607621
17,North-Ea_m,2012.0630136986301,2012-01-24,2012-01-24 00:00:00+00:00,-0.5495817643700933,0.7578605476021766
18,North-Ea_m,2012.145205479452,2012-02-23,2012-02-23 00:00:00+00:00,-0.4334731326744353,0.7952748225229542
19,North-Ea_m,2012.227397260274,2012-03-24,2012-03-24 00:00:00+00:00,-0.8164239162899773,0.7729838859994963
20,North-Ea_m,2012.309589041096,2012-04-23,2012-04-23 00:00:00+00:00,-0.9064438896457806,0.8881607705819896
21,North-Ea_m,2012.3917808219178,2012-05-23,2012-05-23 00:00:00+00:00,-0.80394262522383,1.0106569710290285
22,North-Ea_m,2012.4739726027397,2012-06-22,2012-06-22 00:00:00+00:00,-0.4447874987998842,1.1057739297169737
23,North-Ea_m,2012.5561643835617,2012-07-22,2012-07-22 00:00:00+00:00,0.1264971829095457,1.1000762999381233
24,North-Ea_m,2012.6383561643836,2012-08-21,2012-08-21 00:00:00+00:00,0.08035465587929916,0.6957407180775956
25,North-Ea_m,2012.7205479452055,2012-09-20,2012-09-20 00:00:00+00:00,0.026939296915018618,0.5557728824328357
26,North-Ea_m,2012.8027397260273,2012-10-20,2012-10-20 00:00:00+00:00,-0.07994449173567199,0.5756993654806438
27,North-Ea_m,2012.8849315068494,2012-11-19,2012-11-19 00:00:00+00:00,0.0533151743306154,0.8471023905230004
28,North-Ea_m,2012.9671232876713,2012-12-19,2012-12-19 00:00:00+00:00,-0.4073470912757457,0.7151757593678265
29,North-Ea_m,2013.0465753424658,2013-01-18,2013-01-18 00:00:00+00:00,-0.6345080835895822,0.7724726962621618
30,North-Ea_m,2013.1287671232876,2013-02-17,2013-02-17 00:00:00+00:00,-0.398042194343247,0.7890511665358775
31,North-Ea_m,2013.2109589041097,2013-03-19,2013-03-19 00:00:00+00:00,-0.4962389129911696,0.8390178926481706
32,North-Ea_m,2013.2931506849316,2013-04-18,2013-04-18 00:00:00+00:00,-0.2857323367667284,0.8836806176780927
33,North-Ea_m,2013.3753424657534,2013-05-18,2013-05-18 00:00:00+00:00,-0.05323878787885688,0.8861481574232257
34,North-Ea_m,2013.4575342465753,2013-06-17,2013-06-17 00:00:00+00:00,0.27186847928109,0.7128796312470989
35,North-Ea_m,2013.5397260273974,2013-07-17,2013-07-17 00:00:00+00:00,0.09753707944261258,0.6747367226601374
36,North-Ea_m,2013.6219178082192,2013-08-16,2013-08-16 00:00:00+00:00,-0.3380947131726149,0.6529874245582558
37,North-Ea_m,2013.704109589041,2013-09-15,2013-09-15 00:00:00+00:00,-0.5851006419828199,0.7445589375154275
38,North-Ea_m,2013.786301369863,2013-10-15,2013-10-15 00:00:00+00:00,-1.2928750875622255,0.8307805353446703
39,North-Ea_m,2013.868493150685,2013-11-14,2013-11-14 00:00:00+00:00,-1.4739027414832462,1.0279307397945625
40,North-Ea_m,2013.9506849315069,2013-12-14,2013-12-14 00:00:00+00:00,-1.427176490265253,0.8765243540635197
41,North-Ea_m,2014.0328767123287,2014-01-13,2014-01-13 00:00:00+00:00,-1.0666527914951667,0.9378761465971063
42,North-Ea_m,2014.1150684931506,2014-02-12,2014-02-12 00:00:00+00:00,-1.060609920858349,0.9469891710710234
43,North-Ea_m,2014.1972602739727,2014-03-14,2014-03-14 00:00:00+00:00,-1.5029544698858377,0.972962628166123
