,Name,dates_decimal,dates_datetime_rtz,dates_datetime,changes,errors
0,North-We_m,2010.6657534246576,2010-09-01,2010-09-01 00:00:00+00:00,0.0,1.4765596433380523
1,North-We_m,2010.7479452054795,2010-10-01,2010-10-01 00:00:00+00:00,-0.22810750981535177,1.4752811456691446
2,North-We_m,2010.8301369863013,2010-10-31,2010-10-31 00:00:00+00:00,-0.032723003011879914,1.1903179908222217
3,North-We_m,2010.9123287671232,2010-11-30,2010-11-30 00:00:00+00:00,-0.9138189567395762,1.1681383470772837
4,North-We_m,2010.9945205479453,2010-12-30,2010-12-30 00:00:00+00:00,-0.4136220046046004,1.1055768602121647
5,North-We_m,2011.0767123287671,2011-01-29,2011-01-29 00:00:00+00:00,-0.5516515724528146,1.1741085855644062
6,North-We_m,2011.158904109589,2011-02-28,2011-02-28 00:00:00+00:00,-0.40833585536329053,1.2121676984083631
7,North-We_m,2011.2410958904109,2011-03-30,2011-03-30 00:00:00+00:00,-0.4608721824047999,1.2288212669517498
8,North-We_m,2011.323287671233,2011-04-29,2011-04-29 00:00:00+00:00,-0.10026635761524672,1.5083722097641057
9,North-We_m,2011.4054794520548,2011-05-29,2011-05-29 00:00:00+00:00,-1.780858453782855,1.6154179930895993
10,North-We_m,2011.4876712328767,2011-06-28,2011-06-28 00:00:00+00:00,-1.5217828120526853,1.4236214861665053
11,North-We_m,2011.5698630136985,2011-07-28,2011-07-28 00:00:00+00:00,-1.5700062381193447,1.6105080033844108
12,North-We_m,2011.6520547945206,2011-08-27,2011-08-27 00:00:00+00:00,-1.733593519525835,1.4543889712445814
13,North-We_m,2011.7342465753425,2011-09-26,2011-09-26 00:00:00+00:00,-1.7042535798828475,1.4554479746745643
14,North-We_m,2011.8164383561643,2011-10-26,2011-10-26 00:00:00+00:00,-1.8665666186146979,1.4735960961052839
15,North-We_m,2011.8986301369864,2011-11-25,2011-11-25 00:00:00+00:00,-1.6356886108799478,1.3498255429108688
16,North-We_m,2011.9808219178083,2011-12-25,2011-12-25 00:00:00+00:00,-1.3990090477808625,1.2093287870001128
17,North-We_m,2012.0630136986301,2012-01-24,2012-01-24 00:00:00+00:00,-1.694217732162156,1.2387543302777109
18,North-We_m,2012.145205479452,2012-02-23,2012-02-23 00:00:00+00:00,-1.7757966455087748,1.2938611892594707
19,North-We_m,2012.227397260274,2012-03-24,2012-03-24 00:00:00+00:00,-1.7362386114502575,1.1929969468962052
20,North-We_m,2012.309589041096,2012-04-23,2012-04-23 00:00:00+00:00,-2.016659164721953,1.2159866244348583
21,North-We_m,2012.3917808219178,2012-05-23,2012-05-23 00:00:00+00:00,-2.625680110794903,1.2554137581608276
22,North-We_m,2012.4739726027397,2012-06-22,2012-06-22 00:00:00+00:00,-2.017165617552339,1.3547866420123538
23,North-We_m,2012.5561643835617,2012-07-22,2012-07-22 00:00:00+00:00,-1.8312740978979036,1.2900642102013387
24,North-We_m,2012.6383561643836,2012-08-21,2012-08-21 00:00:00+00:00,-1.893644916817212,1.3057186441579096
25,North-We_m,2012.7205479452055,2012-09-20,2012-09-20 00:00:00+00:00,-2.012160320323759,1.2783474241915365
26,North-We_m,2012.8027397260273,2012-10-20,2012-10-20 00:00:00+00:00,-2.459694740294312,1.3338885427322642
27,North-We_m,2012.8849315068494,2012-11-19,2012-11-19 00:00:00+00:00,-1.954329331328723,1.209771289196964
28,North-We_m,2012.9671232876713,2012-12-19,2012-12-19 00:00:00+00:00,-1.8863822522396907,1.2667085709339745
29,North-We_m,2013.0465753424658,2013-01-18,2013-01-18 00:00:00+00:00,-2.353663287045928,1.1657377607225299
30,North-We_m,2013.1287671232876,2013-02-17,2013-02-17 00:00:00+00:00,-2.305167498506622,1.1308519940716113
31,North-We_m,2013.2109589041097,2013-03-19,2013-03-19 00:00:00+00:00,-2.777764785071518,1.0873587880599842
32,North-We_m,2013.2931506849316,2013-04-18,2013-04-18 00:00:00+00:00,-2.9016603211616987,1.0514872004705473
33,North-We_m,2013.3753424657534,2013-05-18,2013-05-18 00:00:00+00:00,-2.954067473804045,1.1059901991250702
34,North-We_m,2013.4575342465753,2013-06-17,2013-06-17 00:00:00+00:00,-3.2176936887059115,1.1028939241985622
35,North-We_m,2013.5397260273974,2013-07-17,2013-07-17 00:00:00+00:00,-3.0753221267067214,1.2662412927685667
36,North-We_m,2013.6219178082192,2013-08-16,2013-08-16 00:00:00+00:00,-3.390391029627695,1.1194173826113771
37,North-We_m,2013.704109589041,2013-09-15,2013-09-15 00:00:00+00:00,-2.8098165410581415,1.1984054319209438
38,North-We_m,2013.786301369863,2013-10-15,2013-10-15 00:00:00+00:00,-3.494604373738407,1.4497529773883144
39,North-We_m,2013.868493150685,2013-11-14,2013-11-14 00:00:00+00:00,-3.1900577220745316,1.2402899410969597
40,North-We_m,2013.9506849315069,2013-12-14,2013-12-14 00:00:00+00:00,-3.717964571117289,1.3269208077555723
41,North-We_m,2014.0328767123287,2014-01-13,2014-01-13 00:00:00+00:00,-3.5308719215531545,1.1938880254805302
42,North-We_m,2014.1150684931506,2014-02-12,2014-02-12 00:00:00+00:00,-3.1575138323602006,1.1797584022887104
43,North-We_m,2014.1972602739727,2014-03-14,2014-03-14 00:00:00+00:00,-2.9814035791398315,1.1409573827780406
44,North-We_m,2014.2794520547945,2014-04-13,2014-04-13 00:00:00+00:00,-3.4758135414012132,1.1240686050920392
45,North-We_m,2014.3616438356164,2014-05-13,2014-05-13 00:00:00+00:00,-3.6406282954882334,1.256964383787549
46,North-We_m,2014.4438356164383,2014-06-12,2014-06-12 00:00:00+00:00,-3.648755281512474,1.2703473485829373
47,North-We_m,2014.5260273972603,2014-07-12,2014-07-12 00:00:00+00:00,-4.062281053617806,1.3695465079193814
48,North-We_m,2014.6082191780822,2014-08-11,2014-08-11 00:00:00+00:00,-5.117044482810606,1.4286028657135343
49,North-We_m,2014.690410958904,2014-09-10,2014-09-10 00:00:00+00:00,-5.192375551517177,1.400932239210166
50,North-We_m,2014.772602739726,2014-10-10,2014-10-10 00:00:00+00:00,-5.256804524201969,1.2932514153316403
51,North-We_m,2014.854794520548,2014-11-09,2014-11-09 00:00:00+00:00,-3.783847445160346,1.2047512514487229
52,North-We_m,2014.9369863013699,2014-12-09,2014-12-09 00:00:00+00:00,-3.5754018446687392,1.2351952242084758
