,Name,dates_decimal,dates_datetime_rtz,dates_datetime,changes,errors
0,Barents_l,2010.6657534246576,2010-09-01,2010-09-01 00:00:00+00:00,0.0,0.5876384199344767
1,Barents_l,2010.7479452054795,2010-10-01,2010-10-01 00:00:00+00:00,-0.659717647083266,0.588848444803403
2,Barents_l,2010.8301369863013,2010-10-31,2010-10-31 00:00:00+00:00,-0.6670341487500226,0.4688704327528293
3,Barents_l,2010.9123287671232,2010-11-30,2010-11-30 00:00:00+00:00,-0.9957194744865425,0.6022289856202327
4,Barents_l,2010.9945205479453,2010-12-30,2010-12-30 00:00:00+00:00,-0.8394300611607155,0.5988009767480768
5,Barents_l,2011.0767123287671,2011-01-29,2011-01-29 00:00:00+00:00,-0.9255703901604637,0.5934879358439492
6,Barents_l,2011.158904109589,2011-02-28,2011-02-28 00:00:00+00:00,-0.7957926677485385,0.5844376186350217
7,Barents_l,2011.2410958904109,2011-03-30,2011-03-30 00:00:00+00:00,-0.41063675016224055,0.5188576218013006
8,Barents_l,2011.323287671233,2011-04-29,2011-04-29 00:00:00+00:00,-0.13049897892283768,0.5530276304245568
9,Barents_l,2011.4054794520548,2011-05-29,2011-05-29 00:00:00+00:00,0.10499648374210446,0.5240022585707216
10,Barents_l,2011.4876712328767,2011-06-28,2011-06-28 00:00:00+00:00,0.014359872327476264,0.46903948506111137
11,Barents_l,2011.5698630136985,2011-07-28,2011-07-28 00:00:00+00:00,-0.19548556852075216,0.4318066694252192
12,Barents_l,2011.6520547945206,2011-08-27,2011-08-27 00:00:00+00:00,-0.41376576440301815,0.3873900795742296
13,Barents_l,2011.7342465753425,2011-09-26,2011-09-26 00:00:00+00:00,-0.7138945436653712,0.40555215311336973
14,Barents_l,2011.8164383561643,2011-10-26,2011-10-26 00:00:00+00:00,-0.8992115220799228,0.44311303074801195
15,Barents_l,2011.8986301369864,2011-11-25,2011-11-25 00:00:00+00:00,-1.1530830415036597,0.48788052795655446
16,Barents_l,2011.9808219178083,2011-12-25,2011-12-25 00:00:00+00:00,-1.0578447572508016,0.5830619876473568
17,Barents_l,2012.0630136986301,2012-01-24,2012-01-24 00:00:00+00:00,-0.9291929986004532,0.5514885577788718
18,Barents_l,2012.145205479452,2012-02-23,2012-02-23 00:00:00+00:00,-0.6240441862196993,0.5112438085546286
19,Barents_l,2012.227397260274,2012-03-24,2012-03-24 00:00:00+00:00,-0.6619467517087907,0.5740827333018756
20,Barents_l,2012.309589041096,2012-04-23,2012-04-23 00:00:00+00:00,-0.5267499855358013,0.5822024457853001
21,Barents_l,2012.3917808219178,2012-05-23,2012-05-23 00:00:00+00:00,-0.5727537261138114,0.5038413040357139
22,Barents_l,2012.4739726027397,2012-06-22,2012-06-22 00:00:00+00:00,-0.09822769336792736,0.4088164031875248
23,Barents_l,2012.5561643835617,2012-07-22,2012-07-22 00:00:00+00:00,0.2653249104726858,0.383249966812535
24,Barents_l,2012.6383561643836,2012-08-21,2012-08-21 00:00:00+00:00,-0.1347251119015802,0.35876781648153866
25,Barents_l,2012.7205479452055,2012-09-20,2012-09-20 00:00:00+00:00,-0.8409318684699292,0.40960240475346255
26,Barents_l,2012.8027397260273,2012-10-20,2012-10-20 00:00:00+00:00,-1.3693542043652962,0.3848419249963302
27,Barents_l,2012.8849315068494,2012-11-19,2012-11-19 00:00:00+00:00,-1.6295736260834046,0.4396760710841761
28,Barents_l,2012.9671232876713,2012-12-19,2012-12-19 00:00:00+00:00,-1.4490258490831622,0.4796651992580065
29,Barents_l,2013.0465753424658,2013-01-18,2013-01-18 00:00:00+00:00,-1.2313910510128496,0.4760625448229794
30,Barents_l,2013.1287671232876,2013-02-17,2013-02-17 00:00:00+00:00,-1.469621203266719,0.4978435502301614
31,Barents_l,2013.2109589041097,2013-03-19,2013-03-19 00:00:00+00:00,-1.43359508089419,0.5529391088123218
32,Barents_l,2013.2931506849316,2013-04-18,2013-04-18 00:00:00+00:00,-1.4071976739896583,0.45833987611374594
33,Barents_l,2013.3753424657534,2013-05-18,2013-05-18 00:00:00+00:00,-1.5470853617214813,0.4755708153408307
34,Barents_l,2013.4575342465753,2013-06-17,2013-06-17 00:00:00+00:00,-0.8989833474988269,0.4535500802346147
35,Barents_l,2013.5397260273974,2013-07-17,2013-07-17 00:00:00+00:00,-1.421466872255696,0.4960207685730778
36,Barents_l,2013.6219178082192,2013-08-16,2013-08-16 00:00:00+00:00,-1.9926047579711386,0.4701834336175369
37,Barents_l,2013.704109589041,2013-09-15,2013-09-15 00:00:00+00:00,-2.639766852333547,0.5831076695916171
38,Barents_l,2013.786301369863,2013-10-15,2013-10-15 00:00:00+00:00,-2.975110983732958,0.6040691411687205
39,Barents_l,2013.868493150685,2013-11-14,2013-11-14 00:00:00+00:00,-2.7010566455756533,0.5599233337021791
40,Barents_l,2013.9506849315069,2013-12-14,2013-12-14 00:00:00+00:00,-2.551132900084582,0.4503998066682655
41,Barents_l,2014.0328767123287,2014-01-13,2014-01-13 00:00:00+00:00,-2.7650651222910327,0.4654380586069937
42,Barents_l,2014.1150684931506,2014-02-12,2014-02-12 00:00:00+00:00,-2.8483906724937094,0.41269997718586376
43,Barents_l,2014.1972602739727,2014-03-14,2014-03-14 00:00:00+00:00,-3.135713553716994,0.4663807128977317
44,Barents_l,2014.2794520547945,2014-04-13,2014-04-13 00:00:00+00:00,-3.3088138885958704,0.4627651182573575
45,Barents_l,2014.3616438356164,2014-05-13,2014-05-13 00:00:00+00:00,-3.176091172029812,0.5403358263533848
